,xcoord,ycoord,year,datestop,timestop,crimsusp,arstmade,addrtyp,rescode,premtype,premname,addrnum,stname,stinter,crossst,city,state,zip,lat,long
3937,992248,186342,2015,2162015,2010,ROBBERY,N,L, , ,STREET,164,PROSPECT PLACE,VANDERBILT AVENUE,CARLTON AVENUE,BROOKLYN, , ,42.736246,-78.128651
3938,997002,197453,2015,2162015,2014,FEL,N,L, , ,SIDEWALK,350,SOUTH 4 STREET,HOOPER STREET,KEAP STREET,BROOKLYN, , ,40.721714,-73.979302
3939,1004213,243725,2015,2162015,2025,GLA,N,L, , ,STREET, , ,OGDEN AVENUE,WEST 166 STREET,BRONX, , ,40.839296,-73.939239
3940,1007535,178033,2015,2162015,2036,FEL,Y,L, , ,STREET,9521,CHURCH AVENUE,EAST 96 STREET,EAST 95 STREET,BROOKLYN, , ,40.720557,-74.003512
3941,1007989,242164,2015,2162015,2040,CRIMINAL TRESPASS,N,L, , ,SIDEWALK/PARK,1130,COLLEGE AVENUE,EAST 167 STREET,EAST 166 STREET,BRONX, , ,43.252291,-77.732892
3942,1004025,243286,2015,2162015,2040,CPW,N,L, , ,STREET, , ,OGDEN AVENUE,WEST 165 STREET,BRONX, , ,40.83918,-73.941139
3943,1004025,243286,2015,2162015,2040,CPW,N,L, , ,STREET, , ,OGDEN AVENUE,WEST 165 STREET,BRONX, , ,40.83918,-73.941139
3944,1004025,243286,2015,2162015,2040,CPW,N,L, , ,STREET, , ,OGDEN AVENUE,WEST 165 STREET,BRONX, , ,40.83918,-73.941139
3945,1004025,243286,2015,2162015,2055,CPW,N,L, , ,STREET, , ,OGDEN AVENUE,WEST 165 STREET,BRONX, , ,40.83918,-73.941139
3946,982697,185203,2015,2162015,2105,FEL,N,L, , ,WALKWAY,815,HICKS STREET,BUSH STREET,MILL STREET,BROOKLYN, , ,42.652921,-77.061583
3947,1003591,242274,2015,2162015,2105,CPW,N,L, , ,STREET, , ,WEST 162 STREET,OGDEN AVENUE,BRONX, , ,40.83718,-73.942602
3948,995808,235551,2015,2162015,2110,CRIMINAL MISCHIEF,Y,L, , ,STREET,55,LASALLE STREET,BROADWAY,AMSTERDAM AVENUE,MANHATTAN, , ,40.812839,-73.957091
3949,995808,235551,2015,2162015,2110,CRIMINAL MISCHIEF,Y,L, , ,STREET,55,LASALLE STREET,BROADWAY,AMSTERDAM AVENUE,MANHATTAN, , ,40.812839,-73.957091
3950,995808,235551,2015,2162015,2110,CRIMINAL MISCHIEF,Y,L, , ,STREET,55,LASALLE STREET,BROADWAY,AMSTERDAM AVENUE,MANHATTAN, , ,40.812839,-73.957091
3951,1030053,195123,2015,2162015,2149,FEL,N,L, , ,STREET, , ,116 STREET,85 AVENUE,QUEENS, , ,40.785934,-73.97306
3952,1030053,195123,2015,2162015,2149,GRAND LARCENY,N,L, , ,STREET, , ,85 AVENUE,116 STREET,QUEENS, , ,40.799522,-73.943858
3953,1030053,195123,2015,2162015,2149,GRAND LARCENY,N,L, , ,STREET, , ,85 AVENUE,116 STREET,QUEENS, , ,40.799522,-73.943858
3954,1004449,243104,2015,2162015,2200,CPW,N,L, , ,STREET, , ,WOODYCREST AVENUE,WEST 165 STREET,BRONX, , ,40.83918,-73.941139
3955, , ,2015,2162015,2210,GLA / CPSP,N,L, , ,STREET, , ,FREMONT STREET,VICTORY BOULEVARD,STATEN IS, , ,42.568675,-77.593017
3956,1003563,180201,2015,2162015,2215,FEL,N,L, , ,APT BUILDING,40,EAST 51 STREET,RUTLAND ROAD,REMSEN AVENUE,BROOKLYN, , ,40.758445,-73.974906
3957,1003791,242739,2015,2162015,2220,CPW,N,L, , ,STREET, , ,WEST 164 STREET,OGDEN AVENUE,BRONX, , ,40.839174,-73.943465
3958,1041443,154640,2015,2162015,2245,MISD,N,L, , ,PUBLIC STREET, , ,ROCKAWAY BEACH BOULEVARD,BEACH 65 STREET,QUEENS, , ,40.720366,-74.005969
3959,960749,163424,2015,2172015,10,GLA / CPSP,N,L, , ,STREET, , ,VANDERBILT AVENUE,TARGEE STREET,STATEN IS, , ,40.754349,-73.976974
3960,1000273,192916,2015,2172015,15,140.2,N,L, , ,LIQUOR STORE,980A,MYRTLE AVENUE,MARCUS GARVEY BOULEVARD,THROOP AVENUE,BROOKLYN, , ,43.042781,-77.087278
3961,1000273,192916,2015,2172015,15,140.2,N,L, , ,LIQUOR STORE,980A,MYRTLE AVENUE,MARCUS GARVEY BOULEVARD,THROOP AVENUE,BROOKLYN, , ,43.042781,-77.087278
3962,1000273,192916,2015,2172015,15,140.2,N,L, , ,LIQUOR STORE,980A,MYRTLE AVENUE,MARCUS GARVEY BOULEVARD,THROOP AVENUE,BROOKLYN, , ,43.042781,-77.087278
3963,1002862,250343,2015,2172015,17,FEL,N,L, , ,SIDEWALK,661,WEST 187 STREET,BROADWAY,WADSWORTH AVENUE,MANHATTAN, , ,40.85377,-73.932425
3964,1002999,250268,2015,2172015,18,FEL,N,L, , ,CONSTRUCTION SITE, , ,WADSWORTH AVENUE,WEST 187 STREET,MANHATTAN, , ,40.852897,-73.932724
3965,1005825,246210,2015,2172015,25,CPW,N,L, , ,STREET,1402,NELSON AVENUE,WEST 172 STREET,GRANT HIGHWAY,BRONX, , ,42.996508,-77.641902
3966,1005825,246210,2015,2172015,25,CPW,N,L, , ,STREET,1402,NELSON AVENUE,WEST 172 STREET,GRANT HIGHWAY,BRONX, , ,42.996508,-77.641902
3967,1026987,258957,2015,2172015,115,FEL/BURG,N,L, , ,COMMERCIAL BUSINESS, , ,MICKLE AVENUE,BOSTON ROAD,BRONX, , ,43.255721,-77.343713
3968,1059032,179781,2015,2172015,120,FEL,N,L, , ,CAR, , ,255 STREET,FRANCIS LEWIS BOULEVARD,QUEENS, , ,40.71595,-73.978909
3969,1006592,242681,2015,2172015,220,CRIM MISCHIEF,N,L, , ,SIDEWALK,1130,GRAND CONCOURSE,MCCLELLAN STREET,EAST 166 STREET,BRONX, , ,40.713249,-73.977586
3970,1009120,265157,2015,2172015,305,FELONY,N,L, , ,VEHICLE, , ,ARLINGTON AVENUE,WEST 247 STREET,BRONX, , ,43.0884,-77.489227
3971,997430,226746,2015,2172015,540,FEL,N,L, , ,SIDEWALK,55,EAST 99 STREET,PARK AVENUE,MADISON AVENUE,MANHATTAN, , ,40.789176,-73.952604
3972,1030458,189783,2015,2172015,1000,CPW,Y,L, , , ,101-27,110 STREET,103 AVENUE,101 AVENUE,QUEENS, , ,40.796428,-73.948248
3973,998839,240508,2015,2172015,1020,FEL  / CPW,N,L, , ,RESIDENTIAL BUILDING,511,WEST 147 STREET,BROADWAY,AMSTERDAM AVENUE,MANHATTAN, , ,40.826717,-73.946843
3974,1051917,159384,2015,2172015,1020,BURGLARY,N,L, , ,FRONT ENTRANCE,22-21,REGINA AVENUE,GRASSMERE TERRACE,BEACH CHANNEL DRIVE,QUEENS, , ,43.215717,-77.490412
3975,1051917,159384,2015,2172015,1020,FEL,N,L, , ,HOUSE-RENTAL APT,22-21,REGINA AVENUE,GRASSMERE TERRACE,BEACH CHANNEL DRIVE,QUEENS, , ,43.215717,-77.490412
3976,1032216,183142,2015,2172015,1115,FELONY,N,L, , ,DRIVEWAY,149-11,114 STREET,150 AVENUE,149 AVENUE,QUEENS, , ,40.80072,-73.950636
3977,1041498,217069,2015,2172015,1235,FEL,N,L, , , , , ,UTOPIA PARKWAY,37 AVENUE,QUEENS, , ,40.7517,-73.986398
3978,946145,171314,2015,2172015,1300,MISDEMEANOR,N,L, , ,RESIDENCE, , ,HARRISON AVENUE,SHARPE AVENUE,STATEN IS, , ,40.718692,-74.009329
3979,1024969,184827,2015,2172015,1340,FELONY,N,L, , ,STREET, , ,83 STREET,133 AVENUE,QUEENS, , ,40.812815,-73.941802
3980,1037273,204096,2015,2172015,1340,ROBBERY,N,L, , ,STREET, , ,75 AVENUE,160 STREET,QUEENS, , ,40.833843,-73.938492
3981,1027603,185850,2015,2172015,1400,FELONY,N,L, , ,STREET, , ,SUTTER AVENUE,CROSS BAY BOULEVARD,QUEENS, , ,40.72388,-73.996951
3982,1025173,185444,2015,2172015,1405,FELONY,N,L, , ,STREET, , ,SUTTER AVENUE,84 STREET,QUEENS, , ,40.787566,-73.978814
3983,1033190,236863,2015,2172015,1425,FEL,N,L, , ,SIDEWALKS, , ,BALCOM AVENUE,MILES AVENUE,BRONX, , ,43.132393,-77.466841
3984,1035165,198994,2015,2172015,1430,CPW,N,L, , ,SIDEWALK,141-60,84 ROAD,LANDER STREET,MANTON STREET,QUEENS, , ,40.784631,-73.971633
3985,1035165,198994,2015,2172015,1430,CPW,N,L, , ,SIDEWALK,141-60,84 ROAD,LANDER STREET,MANTON STREET,QUEENS, , ,40.784631,-73.971633
3986,1029951,211182,2015,2172015,1450,GRAND LARC,N,L, , ,STREET, , ,COLLEGE POINT BOULEVARD,58 AVENUE,QUEENS, , ,40.758981,-73.962432
3987,1001479,229653,2015,2172015,1450,FELONY,N,L, , ,STREET, , ,2 AVENUE,EAST 116 STREET,MANHATTAN, , ,40.800664,-73.946462
3988, , ,2015,2172015,1500,BURG,N,L, , ,RESIDENTIAL, , ,OLYMPIA BOULEVARD,LANSING STREET,STATEN IS, , ,43.164427,-77.831735
3989,945411,170667,2015,2172015,1525,FELONY,N,L, , ,PUBLIC SIDEWALK,256,CHARLES AVENUE,NICHOLAS AVENUE,CRITTENDEN PLACE,STATEN IS, , ,40.733841,-74.010067
3990,984055,209700,2015,2172015,1635,FEL,N,L, , ,STREET, ,WEST 18 STREET,9 AVENUE,8 AVENUE,MANHATTAN, , ,40.737016,-74.005552
3991,1009710,180716,2015,2172015,1805,CRIM TRES,Y,L, , ,LOBBY,265,LIVONIA AVENUE,STONE AVENUE,ROCKAWAY AVENUE,BROOKLYN, , ,40.714269,-74.005973
3992,1009710,180716,2015,2172015,1805,CRIM TRES,Y,L, , ,LOBBY,265,LIVONIA AVENUE,STONE AVENUE,ROCKAWAY AVENUE,BROOKLYN, , ,40.714269,-74.005973
3993,998602,241527,2015,2172015,1815,FEL  / G.L.A.,N,L, , ,STREET, , ,BROADWAY,WEST 150 STREET,MANHATTAN, , ,40.741563,-73.981816
3994,1000089,229665,2015,2172015,1830,MISD,N,L, , ,HALLWAY,1830,LEXINGTON AVENUE,EAST 115 STREET,EAST 112 STREET,MANHATTAN, , ,40.796905,-73.942872
3995,1049696,180810,2015,2172015,1850,FEL,N,L, , ,STREET, , ,182 STREET,146 AVENUE,QUEENS, , ,40.822048,-73.93758
3996,1019237,183275,2015,2172015,1900,CPW,N,L, , ,SIDEWALK,395,FOUNTAIN AVENUE,LINDEN BOULEVARD,SUTTER AVENUE,BROOKLYN, , ,40.714269,-74.005973
3997,1013077,240795,2015,2172015,1920,GLA,N,L, , ,STREET,1154,INTERVALE AVENUE,TIFFANY STREET,KELLY STREET,BRONX, , ,40.714269,-74.005973
3998,1044710,188768,2015,2172015,1925,CPW,N,L, , ,STAIRWELL,164-01,FOCH BOULEVARD,LONG ISLAND RAILROAD,BREWER BOULEVARD,QUEENS, , ,42.761499,-77.182487
3999,1007197,242947,2015,2172015,1925,CPW,N,L, , ,STREET,1181,SHERIDAN AVENUE,EAST 167 STREET,MCCLELLAN STREET,BRONX, , ,40.733371,-74.002572
4000,998775,187502,2015,2172015,1930,BURGLARY,N,L, , ,PUBLIC SIDEWALK, , ,MACON STREET,VERONA PLACE,BROOKLYN, , ,43.198414,-77.453932
4001,999025,188085,2015,2172015,1940,BURGLARY,N,L, , ,PUBLIC SIDEWALK, , ,MARCY AVENUE,HANCOCK STREET,BROOKLYN, , ,40.810368,-73.953744
4002,1021740,182471,2015,2172015,1950,CRIM TRES,Y,L, , ,DOOR,1259,LORING AVENUE,ELDERTS LANE,AUTUMN AVENUE,BROOKLYN, , ,40.714269,-74.005973
4003,944698,140816,2015,2172015,2010,BURG,N,L, , ,SIDEWALK, , ,AMBOY ROAD,KEEGANS LANE,STATEN IS, , ,40.714269,-74.005973
4004,944698,140816,2015,2172015,2010,BURGLARY,N,L, , ,SIDEWALK, , ,AMBOY ROAD,KEEGANS LANE,STATEN IS, , ,40.714269,-74.005973
4005,944698,140816,2015,2172015,2010,BURGLARY,N,L, , ,SIDEWALK, , ,AMBOY ROAD,KEEGANS LANE,STATEN IS, , ,40.714269,-74.005973
4006,1023479,208493,2015,2172015,2020,CPW,N,L, , ,STREET, , ,57 AVENUE,XENIA STREET,QUEENS, , ,40.714269,-74.005973
4007,1002150,216665,2015,2172015,2030,GLA,N,L, , ,STREET, , ,21 STREET,35 AVENUE,QUEENS, , ,40.748559,-73.982936
4008,1002150,216665,2015,2172015,2030,GLA,N,L, , ,STREET, , ,21 STREET,35 AVENUE,QUEENS, , ,40.748559,-73.982936
4009,1002150,216665,2015,2172015,2030,GLA,N,L, , ,STREET, , ,21 STREET,35 AVENUE,QUEENS, , ,40.748559,-73.982936
4010,1018051,243130,2015,2172015,2035,MISD,Y,L, , ,BLDG,1575,EAST 174 STREET,MANOR AVENUE,BRONX RIVER AVENUE,BRONX, , ,40.846047,-73.940241
4011,995876,174823,2015,2172015,2035,FELONY,N,L, , ,STREET/VEHICLE, , ,FLATBUSH AVENUE,REGENT PLACE,BROOKLYN, , ,40.714269,-74.005973
4012,995876,174823,2015,2172015,2035,FELONY/GLA,N,L, , ,STREET, , ,FLATBUSH AVENUE,REGENT PLACE,BROOKLYN, , ,40.714269,-74.005973
4013,1030688,213411,2015,2172015,2040,GLA,N,L, , ,STREET, , ,COLLEGE POINT BOULEVARD,AVERY AVENUE,QUEENS, , ,43.252291,-77.732892
4014,1003124,250494,2015,2172015,2045,FEL,N,L, , ,STREET, , ,WADSWORTH AVENUE,WEST 188 STREET,MANHATTAN, , ,40.845299,-73.938261
4015,993928,229384,2015,2172015,2045,CT,Y,L, , ,LOBBY,840,COLUMBUS AVENUE,WEST 104 STREET,WEST 100 STREET,MANHATTAN, , ,40.796481,-73.965059
4016,987502,149213,2015,2172015,2050,CPW,Y,L, , ,STREET,2124,MERMAID AVENUE,WEST 22 STREET,WEST 21 STREET,BROOKLYN, , ,40.714269,-74.005973
4017,1022920,255248,2015,2172015,2050,CPW,Y,L, , ,STREET / SIDEWALK,2824,BOSTON ROAD,COLDEN AVENUE,RADCLIFF AVENUE,BRONX, , ,42.727112,-76.967289
4018,998767,169858,2015,2172015,2100,FELONY,N,L, , ,STREET/VEHICLE, , ,FLATBUSH AVENUE,HILLEL PLACE,BROOKLYN, , ,40.714269,-74.005973
4019,1003568,176728,2015,2172015,2105,MISD,N,L, , ,BUS/SIDEWALK, , ,UTICA AVENUE,CHURCH AVENUE,BROOKLYN, , ,40.720557,-74.003512
4020,1007213,232835,2015,2172015,2130,HARASSMENT,Y,L, , ,HOUSING (MILLBROOK),584,EAST 137 STREET,CYPRESS AVENUE,SAINT ANNS AVENUE,BRONX, , ,40.821383,-73.954139
4021,1024609,185325,2015,2172015,2149,FELONY,N,L, , ,STREET, , ,SUTTER AVENUE,82 STREET,QUEENS, , ,40.777592,-73.95909
4022,1024609,185325,2015,2172015,2149,FELONY,N,L, , ,STREET, , ,SUTTER AVENUE,82 STREET,QUEENS, , ,40.777592,-73.95909
4023,988869,160468,2015,2172015,2150,FEL,N,L, , , ,1615,WEST 10 STREET,QUENTIN ROAD,AVENUE P,BROOKLYN, , ,40.733204,-74.0098
4024,1024045,185226,2015,2172015,2155,FELONY,N,L, , ,STREET, , ,SUTTER AVENUE,80 STREET,QUEENS, , ,40.77409,-73.954724
4025,995989,177437,2015,2172015,2200,MIS/ASSAULT,N,L, , ,APT BLDG,55,LENOX ROAD,BEDFORD AVENUE,FLATBUSH AVENUE,BROOKLYN, , ,40.799948,-73.95119
4026,997788,190123,2015,2172015,2200,CSCS,Y,L, , ,BARBAR SHOP,295,NOSTRAND AVENUE,GREENE AVENUE,CLIFTON PLACE,BROOKLYN, , ,40.714269,-74.005973
4027,1024149,180488,2015,2172015,2200,FELONY,N,L, , ,STREET, , ,156 AVENUE,77 STREET,QUEENS, , ,40.773492,-73.959741
4028,1024149,180488,2015,2172015,2200,FELONY,N,L, , ,STREET, , ,156 AVENUE,77 STREET,QUEENS, , ,40.773492,-73.959741
4029,1024149,180488,2015,2172015,2200,FELONY,N,L, , ,STREET, , ,156 AVENUE,77 STREET,QUEENS, , ,40.773492,-73.959741
4030,1024149,180488,2015,2172015,2200,FELONY,N,L, , ,STREET, , ,156 AVENUE,77 STREET,QUEENS, , ,40.773492,-73.959741
4031,1024149,180488,2015,2172015,2200,FELONY,N,L, , ,STREET, , ,156 AVENUE,77 STREET,QUEENS, , ,40.773492,-73.959741
4032,986260,162731,2015,2172015,2220,FEL,N,L, , , , , ,19 AVENUE,73 STREET,BROOKLYN, , ,40.77269,-73.965887
4033, , ,2015,2172015,2225,MIS,Y,L, , ,FRONT OF HOME DEPOT,2750,VETERANS ROAD WEST,ARTHUR KILL ROAD,TYRELLAN AVENUE,STATEN IS, , ,40.714269,-74.005973
4034,1004351,186057,2015,2172015,2228,CPW,Y,L, , ,STREET, , ,ROCHESTER AVENUE,ATLANTIC AVENUE,BROOKLYN, , ,43.160238,-77.446186
4035,1004351,186057,2015,2172015,2228,CPW,N,L, , , , , ,ROCHESTER AVENUE,ATLANTIC AVENUE,BROOKLYN, , ,43.160238,-77.446186
4036,1019118,183834,2015,2172015,2230,CPW,N,L, , ,HOUSING LOCATION,345,FOUNTAIN AVENUE,LINDEN BOULEVARD,SUTTER AVENUE,BROOKLYN, , ,40.714269,-74.005973
4037, , ,2015,2172015,2245,FEL,N,L, , ,CAR, , ,UNION TURNPIKE,GRAND CENTRAL PARKWAY,QUEENS, , ,40.785966,-73.968843
4038,1032659,206763,2015,2172015,2250,ROBBERY,N,L, , ,STREET, , ,MELBOURNE AVENUE,MAIN STREET,QUEENS, , ,40.769289,-73.94354
4039,1032659,206763,2015,2172015,2250,ROBBERY,N,L, , ,STREET, , ,MELBOURNE AVENUE,MAIN STREET,QUEENS, , ,40.769289,-73.94354
4040,1032659,206763,2015,2172015,2250,ROBBERY,N,L, , ,STREET, , ,MELBOURNE AVENUE,MAIN STREET,QUEENS, , ,40.769289,-73.94354
4041,1006476,237941,2015,2172015,2300,MISD,Y,L, , ,HALLWAY,321,EAST 153 STREET,COURTLANDT AVENUE,MORRIS AVENUE,BRONX, , ,40.828292,-73.938838
4042,994301,157150,2015,2172015,2300,FEL,N,L, , , ,718,AVENUE U,EAST 8 STREET,EAST 7 STREET,BROOKLYN, , ,40.706448,-74.015117
4043,994301,157150,2015,2172015,2300,FEL,N,L, , , ,718,AVENUE U,EAST 8 STREET,EAST 7 STREET,BROOKLYN, , ,40.706448,-74.015117
4044,994301,157150,2015,2172015,2300,FEL,N,L, , , ,718,AVENUE U,EAST 8 STREET,EAST 7 STREET,BROOKLYN, , ,40.706448,-74.015117
4045,1008796,239804,2015,2172015,2305,CPW,N,L, , ,SIDEWALK, , ,BROOK AVENUE,EAST 163 STREET,BRONX, , ,40.838477,-73.943741
4046,1008796,239804,2015,2172015,2305,CPW,N,L, , ,SIDEWALK, , ,BROOK AVENUE,EAST 163 STREET,BRONX, , ,40.838477,-73.943741
4047,1008796,239804,2015,2172015,2305,CPW,N,L, , ,SIDEWALK, , ,BROOK AVENUE,EAST 163 STREET,BRONX, , ,40.838477,-73.943741
4048,1007770,242308,2015,2172015,2322,FEL,Y,L, , ,PUBLIC STREET, , ,MCCLELLAN STREET,MORRIS AVENUE,BRONX, , ,40.70587,-74.013254
4049,1007770,242308,2015,2172015,2322,FEL,N,L, , ,PUBLIC STREET, , ,MCCLELLAN STREET,MORRIS AVENUE,BRONX, , ,40.70587,-74.013254
4050,1007770,242308,2015,2172015,2322,FEL,N,L, , ,PUBLIC STREET, , ,MCCLELLAN STREET,MORRIS AVENUE,BRONX, , ,40.70587,-74.013254
4051,1007770,242308,2015,2172015,2325,FEL,N,L, , ,SIDEWALK, , ,MCCLELLAN STREET,MORRIS AVENUE,BRONX, , ,40.70587,-74.013254
4052,1013777,237270,2015,2172015,2330,CPW  CPM,N,L, , ,STREET, , ,BRUCKNER BOULEVARD,TIFFANY STREET,BRONX, , ,43.086193,-77.551687
4053,1025582,266579,2015,2172015,2350,FEL/CPW,N,L, , ,STREET, , ,WICKHAM AVENUE,NEREID AVENUE,BRONX, , ,43.271972,-76.980221
4054,985218,157133,2015,2172015,2350,FEL,N,L, , , ,2226,BATH AVENUE,BAY 32 STREET,BAY 31 STREET,BROOKLYN, , ,42.647574,-77.062077
4055,1000669,237833,2015,2182015,11,CPM,Y,L, , ,17TH FLOOR HALLWAY,2430,7 AVENUE,WEST 142 STREET,WEST 141 STREET,MANHATTAN, , ,40.736752,-74.000914
4056,985688,157787,2015,2182015,30,FEL,N,L, , , , , ,BAY 31 STREET,BENSON AVENUE,BROOKLYN, , ,40.716518,-74.003304
4057,985688,157787,2015,2182015,30,FEL,N,L, , , , , ,BAY 31 STREET,BENSON AVENUE,BROOKLYN, , ,40.716518,-74.003304
4058,985688,157787,2015,2182015,30,FEL,N,L, , , , , ,BAY 31 STREET,BENSON AVENUE,BROOKLYN, , ,40.716518,-74.003304
4059,985688,157787,2015,2182015,30,FEL,N,L, , , , , ,BAY 31 STREET,BENSON AVENUE,BROOKLYN, , ,40.716518,-74.003304
4060,1001678,156547,2015,2182015,31,FEL,N,L, , , ,3019,AVENUE W,BRAGG STREET,BATCHELDER STREET,BROOKLYN, , ,42.629568,-77.074837
4061,1024831,181265,2015,2182015,49,FELONY,N,L, , ,STREET, , ,80 STREET,155 AVENUE,QUEENS, , ,40.828299,-73.935194
4062,1024831,181265,2015,2182015,49,FELONY,N,L, , ,STREET, , ,80 STREET,155 AVENUE,QUEENS, , ,40.828299,-73.935194
4063,959562,170572,2015,2182015,115,GLA / CPSP,N,L, , ,STREET, , ,STANLEY AVENUE,WEBSTER AVENUE,STATEN IS, , ,42.718477,-77.873031
4064,987195,157601,2015,2182015,120,FEL,N,L, , , , , ,86 STREET,24 AVENUE,BROOKLYN, , ,40.743292,-73.991226
4065,987195,157601,2015,2182015,120,FEL,N,L, , , , , ,86 STREET,24 AVENUE,BROOKLYN, , ,40.743292,-73.991226
4066,960415,171252,2015,2182015,130,GLA / CPSP,N,L, , ,STREET, , ,STANLEY AVENUE,JERSEY STREET,STATEN IS, , ,40.724661,-73.996301
4067,954124,169742,2015,2182015,145,GRAND LARCENY,N,L, , ,STREET, , ,DEKAY STREET,DAVIS AVENUE,STATEN IS, , ,42.710208,-78.022134
4068,1012807,265661,2015,2182015,147,FELONY,N,L, , ,STREET, , ,WEST 251 STREET,BROADWAY,BRONX, , ,40.713329,-74.011
4069,1059827,185026,2015,2182015,230,FEL,N,L, , ,STREET, , ,HOOK CREEK BOULEVARD,MERRICK BOULEVARD,QUEENS, , ,40.684656,-74.026017
4070,1037254,188549,2015,2182015,240,FELONY,N,L, , ,STREET, , ,111 AVENUE,134 STREET,QUEENS, , ,40.813627,-73.941535
4071,1037254,188549,2015,2182015,240,FELONY,N,L, , ,STREET, , ,111 AVENUE,134 STREET,QUEENS, , ,40.813627,-73.941535
4072,1049382,180648,2015,2182015,330,FEL,N,L, , ,CAR, , ,181 STREET,146 ROAD,QUEENS, , ,40.822154,-73.937463
4073,996023,198538,2015,2182015,440,FEL,N,L, , ,STREET, , ,SOUTH 2 STREET,HAVEMEYER STREET,BROOKLYN, , ,42.195833,-73.454706
4074,998092,197537,2015,2182015,440,FEL,N,L, , ,STREET,12,STAGG STREET,LORIMER STREET,UNION AVENUE,BROOKLYN, , ,40.714269,-74.005973
4075,987542,182269,2015,2182015,800,BURGLARY,N,L, , ,COMM,509,5 AVENUE,13 STREET,12 STREET,BROOKLYN, , ,40.806416,-73.942262
4076,987542,182269,2015,2182015,800,BURGLARY,N,L, , ,COMMERCIAL,509,5 AVENUE,13 STREET,12 STREET,BROOKLYN, , ,40.806416,-73.942262
4077,963345,173201,2015,2182015,825,TERRORIST ACTIVITY,N,L, , ,BARBERI FERRY BOAT,1,RICHMOND TERRACE,WALL STREET,SOUTH STREET,STATEN IS, , ,42.826535,-77.53308
4078,1027641,250071,2015,2182015,957,ASSUALT 3,N,L, , ,STREET, , ,WILKINSON AVENUE,EASTCHESTER ROAD,BRONX, , ,43.044079,-77.351545
4079,1058246,202372,2015,2182015,1000,FEL,Y,L, , ,STREET, , ,222 STREET,94 AVENUE,QUEENS, , ,40.719737,-73.982636
4080,1058246,202372,2015,2182015,1000,FEL,Y,L, , ,STREET, , ,222 STREET,94 AVENUE,QUEENS, , ,40.719737,-73.982636
4081,1058246,202372,2015,2182015,1000,FEL,Y,L, , ,STREET, , ,222 STREET,94 AVENUE,QUEENS, , ,40.719737,-73.982636
4082,999081,223773,2015,2182015,1005,MISD,N,L, , ,OUTSIDE STREET,1780,1 AVENUE,EAST 93 STREET,EAST 92 STREET,MANHATTAN, , ,40.752597,-73.967011
4083,985855,158434,2015,2182015,1012,FEL,Y,L, , ,APT. BUILDING,8611,BAY PARKWAY,BENSON AVENUE,86 STREET,BROOKLYN, , ,40.729428,-73.978
4084,1045603,192792,2015,2182015,1015,FEL,N,L, , ,STREET, , ,174 STREET,111 AVENUE,QUEENS, , ,40.799684,-73.953791
4085,1030797,217295,2015,2182015,1100,GRAND LARC,N,L, , ,STREET, , ,NORTHERN BOULEVARD,MAIN STREET,QUEENS, , ,40.769289,-73.94354
4086, , ,2015,2182015,1105,BURG,N,L, , ,RESIDENTIAL, , ,MILEY STREET,TYSENS LANE,STATEN IS, , ,40.704546,-74.01007
4087,1057801,176481,2015,2182015,1130,FEL,N,L, , ,PUBLIC SIDE WALK,149-67,255 STREET,CRAFT AVENUE,149 DRIVE,QUEENS, , ,43.153489,-76.878295
4088,990589,202393,2015,2182015,1145,ASSAULT,Y,L, , ,STREET,67,AVENUE D,EAST 6 STREET,EAST 5 STREET,MANHATTAN, , ,40.722228,-73.977239
4089,1000082,201230,2015,2182015,1150,FELONY,N,L, , ,RESIDENTIAL,201,RICHARDSON STREET,NORTH HENRY STREET,HUMBOLDT STREET,BROOKLYN, , ,43.198948,-77.128118
4090,1017700,198965,2015,2182015,1216,FELONY,N,L, , ,SIDEWALK, , ,METROPOLITAN AVENUE,73 PLACE,QUEENS, , ,40.770432,-73.960109
4091,1001765,237948,2015,2182015,1241,MISD,N,L, , ,STREET, , ,LENOX AVENUE,WEST 144 STREET,MANHATTAN, , ,40.817281,-73.938538
4092,985090,172699,2015,2182015,1255,MISD,N,L, , ,STREET, , ,10 AVENUE,46 STREET,BROOKLYN, , ,40.756079,-73.979264
4093,986871,162246,2015,2182015,1300,FEL,N,L, , ,SIDEWALK, , ,20 AVENUE,73 STREET,BROOKLYN, , ,40.772668,-73.965846
4094,947176,170105,2015,2182015,1300,FELONY,N,L, , ,PUBLIC STREET, , ,ALBION PLACE,HEBERTON AVENUE,STATEN IS, , ,40.795054,-73.933156
4095,986871,162246,2015,2182015,1300,FEL,N,L, , ,SIDEWALK, , ,20 AVENUE,73 STREET,BROOKLYN, , ,40.772668,-73.965846
4096,1033190,236863,2015,2182015,1425,FEL,N,L, , ,RESIDENTIAL, , ,BALCOM AVENUE,MILES AVENUE,BRONX, , ,43.132393,-77.466841
4097,938016,167887,2015,2182015,1445,FEL,N,L, , ,STREET, , ,FOREST AVENUE,SOUTH AVENUE,STATEN IS, , ,40.732993,-73.979511
4098,1021156,239206,2015,2182015,1505,MISD,N,L, , ,STREET,1755,STORY AVENUE,TAYLOR AVENUE,ROSEDALE AVENUE,BRONX, , ,40.710392,-74.014455
4099,948649,142063,2015,2182015,1613,BURGLARY,N,L, , ,RESIDENTIAL, , ,BUFFALO STREET,HYLAN BOULEVARD,STATEN IS, , ,43.143896,-77.191002
